Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,115.88,99.32,16.57,0,96.72,227.75,546.08
2,133.03,116.51,16.52,0,112.04,218.6,357.84
3,123.59,108.67,14.92,0,103.31,213.73,485.54
4,138.62,122.0,16.62,0,120.38,232.65,305.55
5,123.72,107.11,16.61,0,108.72,222.37,455.78
6,132.45,114.6,17.85,0,116.95,216.53,386.94
7,122.25,105.89,16.35,0,108.61,217.32,522.22
8,137.49,121.82,15.67,0,121.08,235.82,237.0
9,149.17,133.95,15.22,0,127.58,262.05,202.0
10,144.18,131.22,12.95,0,120.56,279.3,177.15
11,153.58,139.36,14.23,0,139.4,309.62,82.67
12,140.06,125.44,14.62,0,121.23,264.11,239.62
Total,1614.02,1425.89,188.13,0,1396.58,2899.85,3998.39
