Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,163.46,146.0,17.47,0,150.97,474.01,822.79
2,177.19,160.46,16.73,0,166.83,543.74,649.74
3,178.68,161.28,17.4,0,169.95,567.52,845.81
4,161.07,147.68,13.39,0,151.41,544.36,706.09
5,144.94,130.99,13.94,0,139.18,445.37,794.19
6,168.78,153.5,15.28,0,155.33,431.48,391.56
7,189.76,173.95,15.8,0,169.59,461.03,366.91
8,203.64,187.89,15.75,0,189.64,532.53,229.61
9,170.36,153.56,16.8,0,156.65,349.64,254.83
10,169.84,155.8,14.04,0,156.24,438.56,363.12
11,174.4,159.98,14.42,0,162.69,445.79,366.84
12,164.07,147.9,16.16,0,150.18,454.01,980.94
Total,2066.19,1878.99,187.18,0,1918.66,5688.04,6772.43
