Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,88.33,59.46,28.87,0,76.55,474.01,822.79
2,94.05,61.71,32.35,0,84.73,543.74,649.74
3,92.2,59.98,32.23,0,85.48,567.52,845.81
4,106.47,70.82,35.65,0,92.68,544.36,706.09
5,68.72,40.49,28.23,0,63.34,445.37,794.19
6,106.38,76.76,29.62,0,105.89,431.48,391.56
7,120.02,90.35,29.67,0,123.19,461.03,366.91
8,133.23,107.53,25.7,0,147.74,532.53,229.61
9,111.32,84.59,26.74,0,112.21,349.64,254.83
10,109.3,82.26,27.05,0,113.63,438.56,363.12
11,115.62,86.56,29.05,0,111.27,445.79,366.84
12,76.52,44.61,31.91,0,61.75,454.01,980.94
Total,1222.16,865.12,357.07,0,1178.46,5688.04,6772.43
