Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,118.59,89.34,29.25,0,87.34,474.01,822.79
2,107.77,77.9,29.87,0,77.25,543.74,649.74
3,111.86,81.17,30.69,0,80.8,567.52,845.81
4,115.62,83.19,32.43,0,84.82,544.36,706.09
5,89.14,57.59,31.55,0,63.44,445.37,794.19
6,119.23,94.4,24.83,0,93.29,431.48,391.56
7,150.61,123.71,26.9,0,123.52,461.03,366.91
8,173.54,152.84,20.7,0,155.24,532.53,229.61
9,143.34,120.02,23.33,0,115.4,349.64,254.83
10,156.47,128.56,27.92,0,131.77,438.56,363.12
11,148.96,122.52,26.45,0,123.46,445.79,366.84
12,96.44,62.97,33.47,0,66.4,454.01,980.94
Total,1531.57,1194.21,337.39,0,1202.73,5688.04,6772.43
