Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,83.87,64.53,19.33,0,62.5,474.01,822.79
2,75.89,51.92,23.97,0,54.71,543.74,649.74
3,82.36,57.47,24.88,0,56.42,567.52,845.81
4,81.54,56.22,25.32,0,57.7,544.36,706.09
5,49.03,28.48,20.54,0,31.87,445.37,794.19
6,85.89,65.72,20.17,0,68.73,431.48,391.56
7,98.68,80.02,18.66,0,83.54,461.03,366.91
8,126.06,112.64,13.42,0,115.41,532.53,229.61
9,99.1,81.13,17.98,0,86.87,349.64,254.83
10,100.18,83.83,16.35,0,83.25,438.56,363.12
11,102.98,85.51,17.47,0,83.18,445.79,366.84
12,63.77,39.26,24.51,0,42.57,454.01,980.94
Total,1049.35,806.73,242.6,0,826.75,5688.04,6772.43
