Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,147.43,129.01,18.42,0,118.1,276.67,110.09
2,97.44,76.16,21.28,0,80.5,230.76,244.22
3,103.59,80.17,23.42,0,82.67,224.23,274.71
4,53.39,22.88,30.51,0,29.16,187.52,594.44
5,101.59,76.09,25.51,0,77.2,190.98,280.59
6,74.95,49.83,25.12,0,50.75,152.1,467.65
7,51.7,27.41,24.29,0,29.22,143.92,369.19
8,58.75,33.34,25.4,0,33.57,148.12,481.71
9,64.31,37.52,26.79,0,34.02,164.7,459.1
10,60.31,32.42,27.88,0,33.48,139.95,436.33
11,117.9,93.24,24.66,0,88.93,171.59,209.13
12,100.28,79.69,20.59,0,89.51,214.37,188.75
Total,1031.64,737.76,293.87,0,747.11,2244.91,4115.91
