Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,135.01,115.75,19.26,0,120.61,276.67,110.09
2,89.59,68.86,20.73,0,80.96,230.76,244.22
3,92.91,69.6,23.32,0,78.22,224.23,274.71
4,50.6,23.19,27.41,0,29.62,187.52,594.44
5,83.43,60.58,22.85,0,63.49,190.98,280.59
6,63.92,39.28,24.65,0,45.18,152.1,467.65
7,55.34,30.15,25.19,0,33.78,143.92,369.19
8,59.94,33.77,26.17,0,37.16,148.12,481.71
9,73.31,43.16,30.15,0,44.34,164.7,459.1
10,55.34,27.95,27.39,0,33.5,139.95,436.33
11,94.64,71.76,22.89,0,75.78,171.59,209.13
12,116.5,93.63,22.87,0,104.17,214.37,188.75
Total,970.53,677.68,292.88,0,746.81,2244.91,4115.91
