Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,117.69,92.32,25.37,0,130.85,276.67,110.09
2,79.16,54.18,24.99,0,85.46,230.76,244.22
3,71.75,45.5,26.25,0,80.77,224.23,274.71
4,34.24,11.5,22.74,0,25.84,187.52,594.44
5,61.01,37.11,23.9,0,62.67,190.98,280.59
6,50.39,24.56,25.83,0,40.08,152.1,467.65
7,41.16,18.96,22.21,0,34.9,143.92,369.19
8,46.28,22.12,24.16,0,32.87,148.12,481.71
9,57.16,28.53,28.63,0,42.25,164.7,459.1
10,44.56,20.06,24.5,0,42.93,139.95,436.33
11,63.67,41.59,22.08,0,71.58,171.59,209.13
12,84.49,59.42,25.07,0,97.22,214.37,188.75
Total,751.56,455.85,295.73,0,747.42,2244.91,4115.91
