Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,153.06,122.03,31.03,0,155.12,294.79,125.04
2,126.33,92.88,33.45,0,139.54,284.76,228.63
3,132.31,97.19,35.11,0,138.73,283.52,270.33
4,102.99,65.0,37.99,0,89.69,251.69,593.53
5,102.25,69.42,32.83,0,113.84,244.76,310.78
6,102.88,67.44,35.44,0,108.23,237.76,466.18
7,93.69,59.01,34.67,0,104.18,228.2,364.1
8,97.27,62.27,35.0,0,95.27,225.76,422.06
9,95.8,59.41,36.39,1,102.6,209.29,389.28
10,92.73,56.29,36.44,0,87.4,216.03,525.01
11,120.9,84.96,35.94,0,137.64,231.46,213.09
12,133.19,100.11,33.08,0,143.4,246.47,188.09
Total,1353.4,936.01,417.37,1,1415.64,2954.49,4096.12
