Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,131.99,107.13,24.86,0,134.1,294.79,125.04
2,113.56,87.78,25.78,0,107.99,284.76,228.63
3,92.53,66.41,26.11,0,97.59,283.52,270.33
4,73.4,44.98,28.42,0,63.97,251.69,593.53
5,73.11,48.93,24.18,0,71.95,244.76,310.78
6,76.02,50.75,25.28,0,68.11,237.76,466.18
7,69.84,42.72,27.11,0,71.41,228.2,364.1
8,68.18,42.09,26.1,0,67.15,225.76,422.06
9,65.91,40.25,25.67,0,61.01,209.29,389.28
10,59.98,35.11,24.87,0,48.12,216.03,525.01
11,84.41,59.21,25.19,0,91.95,231.46,213.09
12,105.14,79.43,25.71,0,105.81,246.47,188.09
Total,1014.07,704.79,309.28,0,989.16,2954.49,4096.12
