Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,132.4,113.01,19.39,0,123.79,294.79,125.04
2,117.18,95.49,21.69,0,106.36,284.76,228.63
3,106.54,84.03,22.5,0,95.75,283.52,270.33
4,70.19,43.03,27.16,0,46.79,251.69,593.53
5,84.31,61.46,22.85,0,68.65,244.76,310.78
6,86.76,62.98,23.78,0,68.11,237.76,466.18
7,86.45,61.06,25.39,0,68.31,228.2,364.1
8,80.45,54.38,26.07,0,61.23,225.76,422.06
9,67.9,45.62,22.28,0,51.36,209.29,389.28
10,50.37,28.13,22.24,0,32.64,216.03,525.01
11,100.86,80.81,20.05,0,88.05,231.46,213.09
12,107.21,87.81,19.4,0,99.64,246.47,188.09
Total,1090.62,817.81,272.8,0,910.68,2954.49,4096.12
