Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,128.01,110.22,17.79,0,127.37,294.79,125.04
2,109.14,89.3,19.84,0,113.69,284.76,228.63
3,110.68,90.14,20.54,0,113.61,283.52,270.33
4,71.82,50.14,21.68,0,61.33,251.69,593.53
5,75.0,57.81,17.19,0,79.41,244.76,310.78
6,64.02,47.71,16.31,1,67.06,237.76,466.18
7,78.44,59.62,18.83,0,73.68,228.2,364.1
8,76.91,57.22,19.69,0,73.5,225.76,422.06
9,77.22,56.76,20.46,0,72.36,209.29,389.28
10,71.53,50.44,21.08,0,65.78,216.03,525.01
11,96.06,77.89,18.16,0,100.5,231.46,213.09
12,98.58,80.39,18.2,0,99.65,246.47,188.09
Total,1057.41,827.64,229.77,1,1047.94,2954.49,4096.12
