Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,120.15,102.42,17.73,0,177.08,490.28,125.24
2,119.69,101.04,18.65,0,183.65,606.17,242.35
3,113.05,92.76,20.29,0,165.64,520.41,262.92
4,64.16,44.66,19.5,0,75.94,312.8,584.61
5,104.04,81.89,22.15,0,135.4,382.64,299.65
6,76.7,58.43,18.27,0,86.27,260.65,471.49
7,60.38,41.42,18.96,0,61.91,175.47,358.87
8,68.54,48.56,19.98,0,68.05,193.69,458.28
9,65.95,44.01,21.94,0,69.98,189.8,372.9
10,63.72,45.0,18.72,0,65.71,222.8,509.06
11,75.87,59.18,16.68,0,100.35,287.05,224.55
12,104.99,87.69,17.29,0,157.61,504.98,199.09
Total,1037.24,807.06,230.16,0,1347.59,4146.74,4109.01
