Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,81.49,65.62,15.87,0,118.05,490.28,219.17
2,79.48,61.25,18.23,0,122.7,606.17,424.12
3,72.93,53.99,18.94,0,98.68,520.41,460.1
4,48.68,32.25,16.43,0,50.03,312.8,1023.06
5,54.55,39.19,15.36,0,62.4,382.64,524.4
6,41.55,26.3,15.25,0,40.92,260.65,825.12
7,31.83,16.93,14.9,0,28.16,175.47,628.02
8,28.27,14.76,13.51,0,21.33,193.69,802.0
9,26.12,14.19,11.93,0,21.11,189.8,652.57
10,33.83,20.27,13.56,0,32.7,222.8,890.85
11,44.76,28.39,16.37,0,53.99,287.05,392.96
12,67.89,50.81,17.08,0,102.61,504.98,348.41
Total,611.38,423.95,187.43,0,752.68,4146.74,7190.78
