Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,117.71,89.67,28.04,0,158.29,490.28,219.17
2,107.94,77.79,30.15,0,154.85,606.17,424.12
3,97.61,64.19,33.42,0,129.27,520.41,460.1
4,58.89,34.49,24.4,0,57.63,312.8,1023.06
5,63.84,40.62,23.21,0,67.82,382.64,524.4
6,60.23,33.65,26.58,0,56.79,260.65,825.12
7,48.44,24.18,24.27,0,41.01,175.47,628.02
8,47.82,20.0,27.81,0,33.63,193.69,802.0
9,34.93,15.76,19.17,0,24.46,189.8,652.57
10,48.02,22.43,25.59,0,34.63,222.8,890.85
11,74.25,46.35,27.9,0,81.38,287.05,392.96
12,98.42,70.1,28.32,0,137.42,504.98,348.41
Total,858.1,539.23,318.86,0,977.18,4146.74,7190.78
