Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,162.2,140.98,21.22,0,155.54,490.28,219.17
2,138.35,112.78,25.57,0,130.69,606.17,424.12
3,133.65,104.84,28.81,0,117.3,520.41,460.1
4,77.78,45.84,31.94,0,51.51,312.8,1023.06
5,91.88,62.93,28.95,0,70.67,382.64,524.4
6,74.44,48.56,25.88,0,53.39,260.65,825.12
7,53.44,27.1,26.35,0,30.56,175.47,628.02
8,53.52,25.68,27.84,0,28.1,193.69,802.0
9,39.21,13.68,25.54,0,17.49,189.8,652.57
10,46.58,20.43,26.15,0,23.64,222.8,890.85
11,95.54,71.02,24.52,0,76.06,287.05,392.96
12,136.49,111.59,24.9,0,126.27,504.98,348.41
Total,1103.08,785.43,317.67,0,881.22,4146.74,7190.78
