Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,141.6,118.82,22.77,0,150.58,490.28,219.17
2,131.76,101.75,30.01,0,152.99,606.17,424.12
3,125.01,94.31,30.7,0,127.02,520.41,460.1
4,75.12,39.51,35.61,0,55.06,312.8,1023.06
5,87.9,55.66,32.24,0,77.06,382.64,524.4
6,79.73,51.13,28.6,0,63.79,260.65,825.12
7,61.92,33.39,28.53,0,35.58,175.47,628.02
8,61.19,27.73,33.46,0,32.39,193.69,802.0
9,52.44,19.54,32.89,0,24.66,189.8,652.57
10,52.97,21.33,31.63,0,27.33,222.8,890.85
11,99.42,71.84,27.58,0,78.14,287.05,392.96
12,117.96,91.1,26.86,0,132.39,504.98,348.41
Total,1087.02,726.11,360.88,0,956.99,4146.74,7190.78
