Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,176.22,151.09,25.13,0,162.37,490.28,219.17
2,148.42,121.91,26.51,0,141.05,606.17,424.12
3,137.82,108.1,29.72,0,120.79,520.41,460.1
4,74.11,40.92,33.19,0,48.26,312.8,1023.06
5,106.29,74.79,31.5,0,80.91,382.64,524.4
6,76.8,52.28,24.51,0,57.24,260.65,825.12
7,59.34,30.61,28.73,0,35.14,175.47,628.02
8,61.5,31.14,30.37,0,33.12,193.69,802.0
9,50.21,17.27,32.93,0,21.83,189.8,652.57
10,59.8,29.07,30.74,0,31.71,222.8,890.85
11,89.7,63.84,25.86,0,68.12,287.05,392.96
12,139.48,113.8,25.67,0,126.13,504.98,348.41
Total,1179.69,834.82,344.86,0,926.67,4146.74,7190.78
