Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,162.01,129.91,32.11,0,170.86,258.78,73.97
2,155.33,125.22,30.11,0,162.98,300.73,111.86
3,159.84,124.03,35.81,0,189.2,234.1,85.91
4,148.5,114.83,33.67,0,161.69,238.69,124.07
5,143.62,111.56,32.06,0,156.93,245.2,139.69
6,149.14,117.18,31.96,0,165.92,234.18,81.09
7,190.54,156.96,33.58,0,210.97,355.08,46.8
8,259.45,225.68,33.78,0,282.58,678.23,46.31
9,195.62,164.9,30.73,0,219.09,426.82,22.43
10,220.87,188.62,32.24,0,249.72,551.51,42.7
11,201.47,167.74,33.74,0,237.28,536.72,61.03
12,199.5,168.09,31.41,0,229.67,503.75,53.94
Total,2185.89,1794.72,391.2,0,2436.89,4563.79,889.8
