Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,126.5,110.66,15.84,0,121.64,258.78,73.97
2,115.9,100.48,15.43,0,124.1,300.73,111.86
3,121.03,104.33,16.7,0,116.64,234.1,85.91
4,127.84,107.07,20.77,0,132.13,238.69,124.07
5,114.4,96.0,18.4,0,115.19,245.2,139.69
6,113.26,96.65,16.61,0,120.58,234.18,81.09
7,147.53,131.48,16.06,0,152.51,355.08,46.8
8,237.75,219.33,18.43,0,238.23,678.23,46.31
9,182.86,165.6,17.26,0,179.82,426.82,22.43
10,193.07,176.19,16.87,1,205.11,551.51,42.7
11,177.03,159.45,17.58,0,204.93,536.72,61.03
12,167.91,151.75,16.16,0,184.63,503.75,53.94
Total,1825.08,1618.99,206.11,1,1895.51,4563.79,889.8
