Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,148.96,132.17,16.79,0,119.67,258.78,73.97
2,156.91,139.15,17.76,0,132.66,300.73,111.86
3,150.49,131.82,18.67,0,128.87,234.1,85.91
4,139.13,120.4,18.73,0,120.02,238.69,124.07
5,125.12,107.15,17.97,0,111.98,245.2,139.69
6,130.86,115.64,15.23,0,110.67,234.18,81.09
7,188.65,170.63,18.03,0,166.48,355.08,46.8
8,243.62,229.86,13.77,0,219.8,678.23,46.31
9,191.29,177.26,14.03,0,168.86,426.82,22.43
10,231.85,213.4,18.45,0,216.68,551.51,42.7
11,209.0,192.64,16.36,0,195.62,536.72,61.03
12,203.26,186.21,17.05,0,193.82,503.75,53.94
Total,2119.14,1916.33,202.84,0,1885.13,4563.79,889.8
